epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1752.96,1.30999,1.21073,1.40159,0.73397,0.72533,0.76623,0.46912,1.41365,1.09915,1.56884,0.000540037,0.000540037,0.000540037
43,1794.31,1.30643,1.21726,1.39515,0.73485,0.712,0.76479,0.4612,1.38641,1.13673,1.52154,0.000531038,0.000531038,0.000531038
44,1836.02,1.30096,1.1967,1.39364,0.69994,0.72501,0.77671,0.47924,1.38077,1.08917,1.54581,0.000522039,0.000522039,0.000522039
45,1877.32,1.28209,1.17173,1.38822,0.75773,0.73196,0.78123,0.47092,1.42174,1.10925,1.54809,0.00051304,0.00051304,0.00051304
46,1918.86,1.29112,1.18506,1.39431,0.74652,0.73281,0.80037,0.48914,1.38971,1.05534,1.53582,0.00050404,0.00050404,0.00050404
47,1960.41,1.27951,1.17453,1.37939,0.73924,0.67585,0.75761,0.4678,1.39415,1.09462,1.5417,0.000495041,0.000495041,0.000495041
48,2002.01,1.26091,1.13597,1.37963,0.75296,0.7474,0.80026,0.49693,1.38828,1.02372,1.54638,0.000486042,0.000486042,0.000486042
49,2043.49,1.2774,1.13604,1.38323,0.74211,0.74017,0.80386,0.50092,1.36416,1.0509,1.5172,0.000477043,0.000477043,0.000477043
50,2084.94,1.26564,1.14152,1.3757,0.70722,0.74498,0.79497,0.48721,1.39188,1.03033,1.53086,0.000468044,0.000468044,0.000468044
51,2126.2,1.25912,1.12851,1.36665,0.72492,0.76149,0.78523,0.49492,1.35213,1.04495,1.50568,0.000459045,0.000459045,0.000459045
52,2167.41,1.24727,1.12424,1.36547,0.70058,0.75125,0.79565,0.48839,1.39501,1.08876,1.53746,0.000450046,0.000450046,0.000450046
53,2208.73,1.22709,1.09473,1.34732,0.74247,0.69668,0.79244,0.49535,1.36507,1.03139,1.52374,0.000441047,0.000441047,0.000441047
54,2250.26,1.25639,1.11665,1.37325,0.78555,0.74508,0.82064,0.50584,1.3371,0.99515,1.5103,0.000432048,0.000432048,0.000432048
55,2291.56,1.2349,1.08601,1.3568,0.78767,0.71198,0.82036,0.51232,1.3388,1.01974,1.48485,0.000423049,0.000423049,0.000423049
56,2332.95,1.2351,1.09408,1.36569,0.71712,0.78889,0.81336,0.51217,1.31332,1.00916,1.47334,0.000414049,0.000414049,0.000414049
57,2374.42,1.23923,1.06875,1.34099,0.78798,0.74451,0.84595,0.52083,1.36854,0.96592,1.52002,0.00040505,0.00040505,0.00040505
58,2415.87,1.22463,1.07392,1.34762,0.77551,0.74225,0.81413,0.51504,1.31489,1.00567,1.48546,0.000396051,0.000396051,0.000396051
59,2457.31,1.20955,1.0658,1.33887,0.77941,0.73823,0.82109,0.50398,1.35531,1.03689,1.50616,0.000387052,0.000387052,0.000387052
60,2498.65,1.21877,1.05372,1.34788,0.76424,0.77596,0.822,0.51502,1.31431,1.01077,1.45152,0.000378053,0.000378053,0.000378053
61,2540.15,1.20202,1.0295,1.33312,0.78263,0.77871,0.84417,0.52943,1.3157,0.95331,1.47152,0.000369054,0.000369054,0.000369054
62,2581.7,1.20096,1.03007,1.32531,0.79725,0.78808,0.83014,0.52667,1.30578,0.98458,1.47098,0.000360055,0.000360055,0.000360055
63,2623.14,1.21481,1.04208,1.33183,0.79859,0.76141,0.83062,0.52472,1.31296,0.97243,1.47602,0.000351056,0.000351056,0.000351056
64,2664.54,1.19094,1.02691,1.32339,0.80711,0.77778,0.85805,0.54297,1.32267,0.91035,1.46891,0.000342057,0.000342057,0.000342057
65,2706.09,1.18511,0.99128,1.32095,0.83926,0.75871,0.85234,0.53739,1.30387,0.90871,1.46914,0.000333058,0.000333058,0.000333058
66,2747.47,1.1902,1.00945,1.32032,0.81022,0.75664,0.82938,0.52338,1.31229,0.97308,1.45764,0.000324058,0.000324058,0.000324058
67,2789,1.17127,0.99211,1.31002,0.79732,0.75236,0.84766,0.53697,1.30567,0.92747,1.44328,0.000315059,0.000315059,0.000315059
68,2830.47,1.17122,0.98528,1.31032,0.81314,0.79179,0.85541,0.54684,1.29655,0.90556,1.46499,0.00030606,0.00030606,0.00030606
69,2871.88,1.15943,0.9698,1.3123,0.8142,0.79634,0.86009,0.54312,1.29736,0.87259,1.44986,0.000297061,0.000297061,0.000297061
