epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1235.36,0.42624,0.61204,0.84286,0.78535,0.80812,0.82243,0.773,0.36066,0.54228,0.8094,0.0007294,0.0007294,0.0007294
43,1264.66,0.44123,0.60604,0.84247,0.84142,0.84935,0.87151,0.8257,0.34399,0.48569,0.81138,0.0007228,0.0007228,0.0007228
44,1294.05,0.43612,0.6065,0.83961,0.7872,0.87492,0.86518,0.8132,0.36578,0.4768,0.81409,0.0007162,0.0007162,0.0007162
45,1323.33,0.42588,0.59239,0.83904,0.83488,0.83311,0.86487,0.81558,0.36075,0.5155,0.81192,0.0007096,0.0007096,0.0007096
46,1352.59,0.4236,0.59253,0.83764,0.82585,0.85168,0.86323,0.81014,0.34659,0.51247,0.81168,0.000703,0.000703,0.000703
47,1381.88,0.42435,0.57485,0.83514,0.77772,0.7646,0.80085,0.75817,0.3443,0.60497,0.80725,0.0006964,0.0006964,0.0006964
48,1411.25,0.41362,0.57176,0.8342,0.82402,0.78411,0.85637,0.81124,0.35869,0.52526,0.80995,0.0006898,0.0006898,0.0006898
49,1440.53,0.42662,0.60222,0.83863,0.88828,0.78381,0.87567,0.82477,0.3415,0.47033,0.80564,0.0006832,0.0006832,0.0006832
50,1469.97,0.42142,0.58315,0.8367,0.79627,0.80316,0.84172,0.80413,0.33987,0.51011,0.81152,0.0006766,0.0006766,0.0006766
51,1499.34,0.42747,0.58579,0.83407,0.87274,0.75138,0.83482,0.78598,0.3721,0.52742,0.81348,0.00067,0.00067,0.00067
52,1528.71,0.41696,0.54703,0.83521,0.84715,0.80005,0.84691,0.80314,0.34507,0.51751,0.80929,0.0006634,0.0006634,0.0006634
53,1558.11,0.41867,0.57487,0.84015,0.79294,0.81011,0.83727,0.78799,0.35974,0.53185,0.81085,0.0006568,0.0006568,0.0006568
54,1587.46,0.42054,0.55429,0.83074,0.83547,0.81355,0.85202,0.79914,0.34698,0.47635,0.80646,0.0006502,0.0006502,0.0006502
55,1616.75,0.42598,0.58051,0.8386,0.80927,0.85626,0.8761,0.82855,0.36148,0.46255,0.80899,0.0006436,0.0006436,0.0006436
56,1646.11,0.41617,0.55612,0.83252,0.80093,0.82612,0.82168,0.7825,0.34457,0.5069,0.80561,0.000637,0.000637,0.000637
57,1675.4,0.41393,0.55041,0.82937,0.77791,0.82522,0.82294,0.77243,0.36466,0.5577,0.81069,0.0006304,0.0006304,0.0006304
58,1704.7,0.40829,0.55695,0.8356,0.83919,0.77373,0.81705,0.77994,0.3295,0.51883,0.80303,0.0006238,0.0006238,0.0006238
59,1734.02,0.40338,0.55966,0.83024,0.79754,0.86263,0.84251,0.79412,0.34351,0.48966,0.80578,0.0006172,0.0006172,0.0006172
60,1763.4,0.41312,0.55672,0.83105,0.82687,0.82246,0.83786,0.79449,0.3571,0.51185,0.80791,0.0006106,0.0006106,0.0006106
61,1792.72,0.41355,0.54447,0.83396,0.87209,0.78283,0.8508,0.80236,0.34269,0.50434,0.80678,0.000604,0.000604,0.000604
62,1821.99,0.41196,0.5321,0.83358,0.82138,0.80266,0.85493,0.8167,0.33594,0.49967,0.80383,0.0005974,0.0005974,0.0005974
63,1851.29,0.40279,0.52547,0.83397,0.8053,0.83524,0.84121,0.79805,0.35816,0.50169,0.80781,0.0005908,0.0005908,0.0005908
64,1880.55,0.41109,0.51827,0.83062,0.886,0.79508,0.83767,0.79218,0.33767,0.49759,0.80432,0.0005842,0.0005842,0.0005842
65,1909.87,0.40175,0.52967,0.83035,0.8068,0.8562,0.86738,0.81837,0.36124,0.46701,0.81443,0.0005776,0.0005776,0.0005776
66,1939.15,0.39845,0.53172,0.82793,0.8431,0.80126,0.83411,0.7911,0.34305,0.53507,0.80528,0.000571,0.000571,0.000571
67,1968.5,0.40543,0.5053,0.83547,0.8753,0.79252,0.85736,0.81649,0.3374,0.46584,0.80201,0.0005644,0.0005644,0.0005644
68,1997.99,0.40773,0.52019,0.83607,0.82318,0.80509,0.84721,0.80411,0.33694,0.50429,0.80433,0.0005578,0.0005578,0.0005578
69,2027.35,0.40194,0.5008,0.82954,0.8859,0.80615,0.85751,0.80901,0.34287,0.47216,0.80692,0.0005512,0.0005512,0.0005512
70,2056.66,0.40018,0.51686,0.83082,0.82554,0.74678,0.7998,0.76555,0.33456,0.55567,0.80435,0.0005446,0.0005446,0.0005446
71,2086.01,0.396,0.50764,0.82874,0.82312,0.81548,0.82387,0.78384,0.32653,0.48453,0.801,0.000538,0.000538,0.000538
72,2115.39,0.39724,0.49638,0.83279,0.8249,0.79911,0.83514,0.79647,0.32478,0.49005,0.79975,0.0005314,0.0005314,0.0005314
73,2144.75,0.39729,0.4973,0.83318,0.83624,0.79735,0.84605,0.80745,0.32879,0.49354,0.80302,0.0005248,0.0005248,0.0005248
74,2174.21,0.39515,0.50174,0.83037,0.84462,0.78775,0.84728,0.80968,0.34219,0.49402,0.81048,0.0005182,0.0005182,0.0005182
75,2203.53,0.40477,0.52892,0.8351,0.82478,0.76464,0.82824,0.78386,0.34388,0.50711,0.80636,0.0005116,0.0005116,0.0005116
76,2232.9,0.3935,0.49944,0.82744,0.80538,0.79812,0.83651,0.79467,0.33778,0.53599,0.80131,0.000505,0.000505,0.000505
77,2262.26,0.38898,0.4913,0.82828,0.80943,0.83363,0.84949,0.81432,0.33195,0.4847,0.80219,0.0004984,0.0004984,0.0004984
78,2291.65,0.38683,0.48689,0.83185,0.87625,0.78039,0.85749,0.81736,0.34217,0.44789,0.80181,0.0004918,0.0004918,0.0004918
79,2320.98,0.40104,0.47922,0.82963,0.83239,0.77168,0.86447,0.82758,0.32374,0.47722,0.79819,0.0004852,0.0004852,0.0004852
80,2350.31,0.39904,0.47947,0.82818,0.83779,0.81976,0.86356,0.82389,0.33533,0.46428,0.79968,0.0004786,0.0004786,0.0004786
81,2379.6,0.38909,0.46667,0.82666,0.82322,0.81388,0.84939,0.81232,0.32806,0.47958,0.80108,0.000472,0.000472,0.000472
82,2409,0.39425,0.47221,0.82568,0.8637,0.79552,0.86285,0.82425,0.33562,0.45695,0.80225,0.0004654,0.0004654,0.0004654
83,2438.35,0.39097,0.48057,0.82818,0.82033,0.84107,0.87918,0.84425,0.32043,0.45646,0.79841,0.0004588,0.0004588,0.0004588
84,2467.81,0.39232,0.47071,0.82758,0.83424,0.78887,0.86452,0.8267,0.33406,0.50151,0.8043,0.0004522,0.0004522,0.0004522
85,2497.25,0.38776,0.46964,0.83251,0.82029,0.83734,0.87531,0.83562,0.33439,0.45704,0.80029,0.0004456,0.0004456,0.0004456
86,2526.63,0.38909,0.4809,0.82745,0.84131,0.8047,0.86698,0.82958,0.33637,0.46093,0.80164,0.000439,0.000439,0.000439
87,2556.07,0.38304,0.46133,0.82491,0.85476,0.83586,0.88424,0.84071,0.32415,0.4256,0.80035,0.0004324,0.0004324,0.0004324
88,2585.38,0.39038,0.45305,0.82675,0.87516,0.8109,0.85142,0.80456,0.3466,0.45839,0.8022,0.0004258,0.0004258,0.0004258
89,2614.72,0.38884,0.45846,0.82829,0.83189,0.84597,0.87372,0.82704,0.33972,0.46457,0.79944,0.0004192,0.0004192,0.0004192
90,2644.05,0.38624,0.45926,0.82455,0.86156,0.81054,0.87024,0.82429,0.3318,0.46718,0.79508,0.0004126,0.0004126,0.0004126
91,2673.51,0.38608,0.45495,0.8237,0.85563,0.84039,0.87542,0.83546,0.33512,0.43221,0.80074,0.000406,0.000406,0.000406
92,2702.88,0.3784,0.45817,0.82214,0.83197,0.84672,0.85779,0.81774,0.32961,0.47241,0.79674,0.0003994,0.0003994,0.0003994
93,2732.3,0.38383,0.45089,0.82395,0.836,0.80173,0.83343,0.79447,0.33182,0.48872,0.79743,0.0003928,0.0003928,0.0003928
94,2761.7,0.37873,0.4436,0.82446,0.84543,0.83066,0.86855,0.8357,0.32357,0.46064,0.79862,0.0003862,0.0003862,0.0003862
95,2791.13,0.37552,0.43385,0.82302,0.79763,0.87635,0.87286,0.83071,0.3239,0.44586,0.79651,0.0003796,0.0003796,0.0003796
96,2820.57,0.37616,0.44202,0.82945,0.84844,0.82422,0.8807,0.84232,0.33114,0.45349,0.79816,0.000373,0.000373,0.000373
97,2849.98,0.37917,0.4414,0.82569,0.87255,0.83159,0.88299,0.84503,0.32113,0.41859,0.7957,0.0003664,0.0003664,0.0003664
98,2879.4,0.38797,0.45171,0.82841,0.84374,0.82968,0.87267,0.83055,0.33556,0.43994,0.79954,0.0003598,0.0003598,0.0003598
99,2908.74,0.37472,0.4494,0.82442,0.85726,0.81406,0.87264,0.82938,0.33328,0.43633,0.79785,0.0003532,0.0003532,0.0003532
100,2938.16,0.37317,0.4179,0.82512,0.79847,0.84216,0.85516,0.82243,0.32025,0.47546,0.79462,0.0003466,0.0003466,0.0003466
101,2967.52,0.36756,0.42313,0.8245,0.81974,0.83643,0.85432,0.8277,0.31368,0.45875,0.79305,0.00034,0.00034,0.00034
102,2996.93,0.37098,0.4388,0.82217,0.87851,0.80505,0.84616,0.81281,0.32495,0.46267,0.79814,0.0003334,0.0003334,0.0003334
103,3026.38,0.37396,0.42583,0.82356,0.84757,0.848,0.87112,0.83149,0.3386,0.44198,0.80119,0.0003268,0.0003268,0.0003268
104,3055.77,0.37059,0.406,0.82169,0.86713,0.84234,0.87039,0.83271,0.3138,0.45953,0.79464,0.0003202,0.0003202,0.0003202
105,3085.14,0.37037,0.42096,0.82111,0.83586,0.81053,0.85048,0.81333,0.33076,0.46503,0.79803,0.0003136,0.0003136,0.0003136
106,3114.53,0.37309,0.43065,0.82139,0.84133,0.82088,0.86418,0.82809,0.32476,0.42763,0.79707,0.000307,0.000307,0.000307
107,3143.95,0.3661,0.40447,0.81965,0.84929,0.80366,0.84836,0.81699,0.3192,0.46463,0.79563,0.0003004,0.0003004,0.0003004
108,3173.27,0.36551,0.40532,0.8187,0.84865,0.81506,0.84807,0.81173,0.31745,0.45289,0.79613,0.0002938,0.0002938,0.0002938
109,3202.6,0.36259,0.41132,0.81976,0.81224,0.86971,0.84438,0.80939,0.31897,0.43456,0.79527,0.0002872,0.0002872,0.0002872
110,3231.92,0.37589,0.4242,0.82143,0.82705,0.84794,0.84442,0.80894,0.31128,0.47643,0.7938,0.0002806,0.0002806,0.0002806
