epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,472.272,0.4133,0.53934,0.84403,0.87055,0.81758,0.86861,0.82259,0.35577,0.47507,0.81469,0.000660045,0.000660045,0.000660045
43,483.115,0.40394,0.50074,0.84328,0.91179,0.83282,0.88242,0.83564,0.34023,0.45923,0.80868,0.000649046,0.000649046,0.000649046
44,494.02,0.40615,0.52975,0.8443,0.92348,0.83498,0.8709,0.82058,0.35852,0.41236,0.8205,0.000638047,0.000638047,0.000638047
45,505.1,0.41679,0.53656,0.84832,0.82237,0.83974,0.84815,0.80241,0.35918,0.45745,0.81899,0.000627048,0.000627048,0.000627048
46,516.365,0.4186,0.51769,0.85067,0.91286,0.7722,0.81407,0.77069,0.34873,0.48034,0.81624,0.000616049,0.000616049,0.000616049
47,527.471,0.39702,0.50479,0.84602,0.86162,0.82162,0.841,0.79175,0.36416,0.4371,0.82106,0.000605051,0.000605051,0.000605051
48,538.694,0.40462,0.5046,0.84687,0.87604,0.81025,0.84773,0.80137,0.35002,0.43813,0.81315,0.000594052,0.000594052,0.000594052
49,549.645,0.40537,0.50648,0.85051,0.86277,0.86087,0.88322,0.83119,0.35771,0.45083,0.82014,0.000583053,0.000583053,0.000583053
50,560.667,0.41027,0.49887,0.85013,0.83594,0.85576,0.86352,0.82041,0.35695,0.41347,0.81964,0.000572054,0.000572054,0.000572054
51,572.053,0.40033,0.49321,0.8492,0.86934,0.85147,0.85379,0.80477,0.36052,0.46518,0.82264,0.000561055,0.000561055,0.000561055
52,583.512,0.40334,0.4911,0.84485,0.85652,0.82395,0.8536,0.80722,0.35922,0.48665,0.8194,0.000550056,0.000550056,0.000550056
53,594.72,0.39691,0.48916,0.84181,0.84585,0.85788,0.86876,0.81943,0.34603,0.41631,0.81344,0.000539057,0.000539057,0.000539057
54,607.61,0.40362,0.48468,0.84381,0.90707,0.81734,0.86694,0.82159,0.36233,0.44363,0.82146,0.000528058,0.000528058,0.000528058
55,618.673,0.39345,0.46811,0.83773,0.92369,0.84801,0.87607,0.83157,0.35038,0.40971,0.81467,0.000517059,0.000517059,0.000517059
56,629.716,0.39207,0.46213,0.83878,0.84735,0.84816,0.86411,0.81632,0.34938,0.43343,0.8136,0.00050606,0.00050606,0.00050606
57,640.773,0.39879,0.49215,0.84062,0.86361,0.86552,0.8796,0.83538,0.347,0.43026,0.81191,0.000495062,0.000495062,0.000495062
58,651.929,0.39282,0.47906,0.83778,0.87427,0.87393,0.86855,0.81899,0.34964,0.41237,0.81545,0.000484063,0.000484063,0.000484063
59,663.037,0.3906,0.45404,0.84112,0.91362,0.77006,0.86311,0.81661,0.35013,0.46562,0.81366,0.000473064,0.000473064,0.000473064
60,675.032,0.38779,0.45374,0.84124,0.91287,0.81145,0.87091,0.83165,0.34696,0.4282,0.81163,0.000462065,0.000462065,0.000462065
61,686.953,0.38924,0.46173,0.8383,0.90464,0.80808,0.86279,0.80659,0.35818,0.43065,0.81591,0.000451066,0.000451066,0.000451066
62,698.356,0.38778,0.45274,0.83754,0.93282,0.85105,0.88312,0.84129,0.34388,0.42969,0.81236,0.000440067,0.000440067,0.000440067
63,709.191,0.38113,0.44179,0.83795,0.93157,0.81253,0.88318,0.83948,0.33606,0.44862,0.80965,0.000429068,0.000429068,0.000429068
64,720.415,0.38615,0.45011,0.83919,0.89498,0.84909,0.88102,0.8368,0.33226,0.41555,0.80865,0.000418069,0.000418069,0.000418069
65,731.57,0.3789,0.44328,0.83676,0.89048,0.8676,0.89341,0.8499,0.34205,0.40539,0.81047,0.00040707,0.00040707,0.00040707
66,742.423,0.38727,0.44067,0.83783,0.9011,0.8387,0.87851,0.83347,0.33378,0.40516,0.80755,0.000396071,0.000396071,0.000396071
67,753.263,0.38581,0.44813,0.84076,0.90718,0.83214,0.86834,0.82198,0.34101,0.42717,0.81101,0.000385073,0.000385073,0.000385073
68,764.122,0.38117,0.43356,0.83793,0.89186,0.83029,0.8595,0.81921,0.33542,0.41204,0.80935,0.000374074,0.000374074,0.000374074
69,775.081,0.37466,0.43455,0.83952,0.89496,0.86449,0.86751,0.82667,0.3261,0.39034,0.80756,0.000363075,0.000363075,0.000363075
70,785.931,0.37432,0.41241,0.83692,0.87767,0.8343,0.8554,0.81724,0.33102,0.40693,0.80881,0.000352076,0.000352076,0.000352076
71,796.799,0.37321,0.41915,0.83533,0.89951,0.83061,0.86089,0.82796,0.32092,0.4044,0.80464,0.000341077,0.000341077,0.000341077
72,807.639,0.3783,0.43154,0.83813,0.86031,0.88398,0.87149,0.82779,0.33917,0.39876,0.80873,0.000330078,0.000330078,0.000330078
73,818.464,0.37352,0.42053,0.83481,0.91516,0.84517,0.88376,0.83992,0.33776,0.40066,0.80861,0.000319079,0.000319079,0.000319079
74,829.315,0.37296,0.42632,0.83421,0.90626,0.84813,0.88701,0.85026,0.3307,0.39531,0.80697,0.00030808,0.00030808,0.00030808
75,840.186,0.37827,0.41926,0.83986,0.87642,0.8735,0.87824,0.83509,0.33754,0.39897,0.81011,0.000297081,0.000297081,0.000297081
76,851.06,0.36979,0.42325,0.83475,0.89785,0.8618,0.88349,0.843,0.3338,0.38245,0.80885,0.000286083,0.000286083,0.000286083
77,862.03,0.36983,0.43559,0.83645,0.8663,0.88129,0.88477,0.83542,0.32777,0.39958,0.80663,0.000275084,0.000275084,0.000275084
78,872.869,0.36612,0.40378,0.83496,0.8859,0.86067,0.89009,0.8498,0.33121,0.39231,0.80621,0.000264085,0.000264085,0.000264085
79,883.721,0.36432,0.39826,0.83291,0.90324,0.85004,0.88264,0.84126,0.33199,0.38611,0.80799,0.000253086,0.000253086,0.000253086
80,894.584,0.37469,0.40788,0.83394,0.87968,0.8519,0.88081,0.83983,0.33735,0.40989,0.80823,0.000242087,0.000242087,0.000242087
81,905.441,0.36263,0.40569,0.83039,0.92679,0.83292,0.88182,0.84064,0.33638,0.40931,0.8073,0.000231088,0.000231088,0.000231088
82,916.249,0.35968,0.39513,0.83296,0.92668,0.85586,0.87139,0.83066,0.34675,0.40976,0.80931,0.000220089,0.000220089,0.000220089
83,927.07,0.35816,0.40169,0.83193,0.92186,0.84091,0.88026,0.84665,0.32281,0.40335,0.80279,0.00020909,0.00020909,0.00020909
84,937.968,0.35872,0.3876,0.82935,0.9187,0.84249,0.89312,0.85369,0.32266,0.37675,0.80226,0.000198091,0.000198091,0.000198091
85,948.875,0.36453,0.39491,0.82876,0.92429,0.85903,0.88479,0.84637,0.33185,0.39036,0.80734,0.000187092,0.000187092,0.000187092
86,959.768,0.3588,0.38536,0.82787,0.92071,0.83844,0.87462,0.83987,0.32889,0.39291,0.80435,0.000176094,0.000176094,0.000176094
87,970.651,0.35566,0.38768,0.83081,0.89552,0.84817,0.87536,0.83552,0.32745,0.39211,0.80483,0.000165095,0.000165095,0.000165095
88,981.527,0.35595,0.39123,0.832,0.92056,0.84455,0.88036,0.84435,0.3249,0.38617,0.80477,0.000154096,0.000154096,0.000154096
89,992.389,0.35999,0.3801,0.83137,0.92739,0.85663,0.88853,0.85439,0.32269,0.37753,0.8027,0.000143097,0.000143097,0.000143097
90,1003.26,0.35831,0.37489,0.8309,0.90482,0.85668,0.88558,0.85289,0.32379,0.39711,0.80388,0.000132098,0.000132098,0.000132098
91,1040.05,0.31119,0.28682,0.80711,0.90995,0.85125,0.88664,0.84883,0.32302,0.38008,0.80282,0.000121099,0.000121099,0.000121099
92,1052.83,0.31938,0.29928,0.81215,0.89784,0.84404,0.87616,0.84551,0.32032,0.38134,0.80323,0.0001101,0.0001101,0.0001101
93,1064.13,0.32332,0.27951,0.81405,0.89709,0.84715,0.88051,0.84542,0.32124,0.37664,0.80484,9.91012e-05,9.91012e-05,9.91012e-05
94,1075.18,0.3102,0.2842,0.80887,0.88928,0.87208,0.88621,0.85542,0.32223,0.37798,0.80497,8.81023e-05,8.81023e-05,8.81023e-05
95,1086.32,0.31264,0.27286,0.80181,0.89243,0.84167,0.89016,0.85604,0.32,0.3745,0.80378,7.71034e-05,7.71034e-05,7.71034e-05
96,1097.37,0.30681,0.25953,0.80327,0.88661,0.8424,0.87934,0.84594,0.31738,0.39132,0.80284,6.61045e-05,6.61045e-05,6.61045e-05
97,1108.42,0.30731,0.2738,0.80681,0.89401,0.8338,0.87497,0.84179,0.30976,0.39164,0.80078,5.51056e-05,5.51056e-05,5.51056e-05
98,1119.57,0.30515,0.26335,0.80503,0.92083,0.85451,0.88454,0.85358,0.31776,0.38499,0.80139,4.41067e-05,4.41067e-05,4.41067e-05
99,1130.6,0.30301,0.25709,0.805,0.91717,0.83332,0.875,0.84216,0.31577,0.38296,0.80168,3.31078e-05,3.31078e-05,3.31078e-05
100,1141.59,0.30307,0.25906,0.80469,0.9206,0.82978,0.86975,0.83757,0.3161,0.38751,0.80063,2.21089e-05,2.21089e-05,2.21089e-05
