epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1166.58,1.19617,1.11021,1.38088,0.73951,0.67124,0.73475,0.43225,1.46803,1.18555,1.60718,0.000540037,0.000540037,0.000540037
43,1194.24,1.18766,1.09598,1.36867,0.72188,0.68291,0.74715,0.44701,1.42112,1.16817,1.5383,0.000531038,0.000531038,0.000531038
44,1221.8,1.18836,1.10257,1.37187,0.74192,0.71169,0.77922,0.475,1.40011,1.07783,1.53869,0.000522039,0.000522039,0.000522039
45,1249.34,1.18224,1.09191,1.36826,0.71041,0.73276,0.77723,0.46463,1.44604,1.07937,1.57001,0.00051304,0.00051304,0.00051304
46,1277.15,1.20655,1.09022,1.36157,0.69082,0.75683,0.77325,0.47918,1.36605,1.01573,1.51014,0.00050404,0.00050404,0.00050404
47,1304.79,1.16654,1.06896,1.35293,0.72837,0.76206,0.78242,0.47457,1.43251,1.03599,1.53481,0.000495041,0.000495041,0.000495041
48,1332.62,1.16882,1.0441,1.34762,0.73016,0.75164,0.78651,0.48849,1.38758,1.06065,1.53338,0.000486042,0.000486042,0.000486042
49,1360.33,1.15788,1.04843,1.35091,0.78293,0.72673,0.79402,0.48288,1.40196,1.05876,1.52874,0.000477043,0.000477043,0.000477043
50,1388,1.15232,1.04308,1.34251,0.75992,0.75958,0.7966,0.48763,1.37414,1.0582,1.51231,0.000468044,0.000468044,0.000468044
51,1415.62,1.15699,1.03265,1.33646,0.80419,0.73431,0.82367,0.50166,1.38894,1.0014,1.53379,0.000459045,0.000459045,0.000459045
52,1443.31,1.15472,1.04137,1.33865,0.74812,0.74646,0.79819,0.49686,1.35568,0.98531,1.51331,0.000450046,0.000450046,0.000450046
53,1471.01,1.16141,1.01974,1.3393,0.81533,0.74477,0.82445,0.50554,1.34107,0.97225,1.49061,0.000441047,0.000441047,0.000441047
54,1498.69,1.13727,1.00961,1.33447,0.81818,0.72532,0.81,0.50114,1.37903,0.97286,1.50913,0.000432048,0.000432048,0.000432048
55,1526.4,1.12225,0.99726,1.32032,0.7992,0.75045,0.82361,0.52418,1.31367,0.95798,1.46264,0.000423049,0.000423049,0.000423049
56,1554.15,1.1362,1.00074,1.32214,0.79008,0.73649,0.81524,0.50612,1.35777,0.96451,1.48148,0.000414049,0.000414049,0.000414049
57,1581.94,1.1334,0.97811,1.31238,0.79767,0.76938,0.83651,0.52853,1.31824,0.91704,1.46209,0.00040505,0.00040505,0.00040505
58,1609.47,1.11541,0.98937,1.31289,0.77234,0.78732,0.82985,0.5292,1.3257,0.96924,1.47425,0.000396051,0.000396051,0.000396051
59,1637.17,1.11233,0.96327,1.30681,0.77851,0.74048,0.81384,0.51569,1.33304,0.96665,1.45913,0.000387052,0.000387052,0.000387052
60,1664.89,1.125,0.95079,1.30544,0.80225,0.77484,0.84382,0.53555,1.33694,0.94475,1.46659,0.000378053,0.000378053,0.000378053
61,1692.67,1.10665,0.95013,1.31493,0.80595,0.76072,0.83104,0.51477,1.35807,0.94924,1.49837,0.000369054,0.000369054,0.000369054
62,1720.32,1.10235,0.95501,1.29731,0.75751,0.74887,0.82326,0.52233,1.29922,0.92994,1.4685,0.000360055,0.000360055,0.000360055
63,1747.96,1.09131,0.95409,1.2954,0.76704,0.78395,0.83121,0.52739,1.31939,0.93239,1.45717,0.000351056,0.000351056,0.000351056
64,1775.56,1.08931,0.94313,1.29191,0.80449,0.76433,0.84819,0.53533,1.32407,0.89278,1.44799,0.000342057,0.000342057,0.000342057
65,1802.9,1.0747,0.91293,1.28448,0.81065,0.79905,0.85426,0.54553,1.29432,0.86514,1.43345,0.000333058,0.000333058,0.000333058
66,1830.54,1.0771,0.91886,1.28257,0.8632,0.77619,0.86166,0.53917,1.31518,0.87666,1.44657,0.000324058,0.000324058,0.000324058
67,1858.21,1.08259,0.90845,1.28676,0.84337,0.77955,0.86653,0.56128,1.27023,0.8679,1.42883,0.000315059,0.000315059,0.000315059
68,1886.01,1.06817,0.90859,1.2841,0.83565,0.77764,0.86766,0.55831,1.26335,0.85488,1.41875,0.00030606,0.00030606,0.00030606
69,1913.47,1.06939,0.90253,1.27415,0.83674,0.79618,0.86751,0.55209,1.28437,0.86324,1.42489,0.000297061,0.000297061,0.000297061
70,1940.95,1.0567,0.89828,1.27614,0.84512,0.79991,0.86299,0.55265,1.27678,0.87792,1.41711,0.000288062,0.000288062,0.000288062
71,1968.54,1.07706,0.87074,1.27789,0.84784,0.77685,0.87011,0.55831,1.28537,0.85182,1.43051,0.000279063,0.000279063,0.000279063
